"filename", "language", "XML", "Java", "Java Properties", "Markdown", "YAML", "comment", "blank", "total"
"/home/last/Рабочий стол/LastPlugins/My Plugins/LastItems Free/bin/main/ru/last/lastitems/item/actions/types/DamageAction.class", "Java", 0, 19, 0, 0, 0, 0, 0, 19
"/home/last/Рабочий стол/LastPlugins/My Plugins/LastItems Free/bin/main/ru/last/lastitems/item/actions/types/DisableItemsAction.class", "Java", 0, 26, 0, 0, 0, 0, 0, 26
"/home/last/Рабочий стол/LastPlugins/My Plugins/LastItems Free/bin/main/ru/last/lastitems/item/actions/types/FreezeAction.class", "Java", 0, 20, 0, 0, 0, 0, 0, 20
"/home/last/Рабочий стол/LastPlugins/My Plugins/LastItems Free/bin/main/ru/last/lastitems/item/actions/types/KnockbackAction.class", "Java", 0, 24, 0, 0, 0, 0, 0, 24
"/home/last/Рабочий стол/LastPlugins/My Plugins/LastItems Free/bin/main/ru/last/lastitems/item/actions/types/LightningAction.class", "Java", 0, 23, 0, 0, 0, 0, 0, 23
"/home/last/Рабочий стол/LastPlugins/My Plugins/LastItems Free/bin/main/ru/last/lastitems/item/actions/types/MessageAction.class", "Java", 0, 14, 0, 0, 0, 0, 0, 14
"/home/last/Рабочий стол/LastPlugins/My Plugins/LastItems Free/bin/main/ru/last/lastitems/item/actions/types/NoTargetAction.class", "Java", 0, 13, 0, 0, 0, 0, 0, 13
"/home/last/Рабочий стол/LastPlugins/My Plugins/LastItems Free/bin/main/ru/last/lastitems/item/actions/types/ParticleAction.class", "Java", 0, 28, 0, 0, 0, 0, 0, 28
"/home/last/Рабочий стол/LastPlugins/My Plugins/LastItems Free/bin/main/ru/last/lastitems/item/actions/types/PotionAction$ActionType.class", "Java", 0, 11, 0, 0, 0, 0, 0, 11
"/home/last/Рабочий стол/LastPlugins/My Plugins/LastItems Free/bin/main/ru/last/lastitems/item/actions/types/PotionAction.class", "Java", 0, 37, 0, 0, 0, 0, 0, 37
"/home/last/Рабочий стол/LastPlugins/My Plugins/LastItems Free/bin/main/ru/last/lastitems/item/actions/types/TitleAction.class", "Java", 0, 23, 0, 0, 0, 0, 0, 23
"/home/last/Рабочий стол/LastPlugins/My Plugins/LastItems Free/bin/main/ru/last/lastitems/item/actions/types/VanillaAction$VanillaEventConfig.class", "Java", 0, 13, 0, 0, 0, 0, 0, 13
"/home/last/Рабочий стол/LastPlugins/My Plugins/LastItems Free/bin/main/ru/last/lastitems/item/actions/types/VanillaAction.class", "Java", 0, 24, 0, 0, 0, 0, 0, 24
"/home/last/Рабочий стол/LastPlugins/My Plugins/LastItems Free/bin/main/ru/last/lastitems/item/triggers/BlockTrigger.class", "Java", 0, 23, 0, 0, 0, 0, 0, 23
"/home/last/Рабочий стол/LastPlugins/My Plugins/LastItems Free/bin/main/ru/last/lastitems/item/triggers/ClickTrigger.class", "Java", 0, 36, 0, 0, 0, 0, 1, 37
"/home/last/Рабочий стол/LastPlugins/My Plugins/LastItems Free/bin/main/ru/last/lastitems/item/triggers/HitTrigger.class", "Java", 0, 20, 0, 0, 0, 0, 0, 20
"/home/last/Рабочий стол/LastPlugins/My Plugins/LastItems Free/bin/main/ru/last/lastitems/item/triggers/KillEntityTrigger.class", "Java", 0, 21, 0, 0, 0, 0, 0, 21
"/home/last/Рабочий стол/LastPlugins/My Plugins/LastItems Free/bin/main/ru/last/lastitems/item/triggers/KillPlayerTrigger.class", "Java", 0, 24, 0, 0, 0, 0, 0, 24
"/home/last/Рабочий стол/LastPlugins/My Plugins/LastItems Free/bin/main/ru/last/lastitems/item/triggers/ProjectileTrigger.class", "Java", 0, 23, 0, 0, 0, 0, 0, 23
"/home/last/Рабочий стол/LastPlugins/My Plugins/LastItems Free/bin/main/ru/last/lastitems/item/triggers/SwappingTrigger.class", "Java", 0, 34, 0, 0, 0, 0, 0, 34
"/home/last/Рабочий стол/LastPlugins/My Plugins/LastItems Free/bin/main/ru/last/lastitems/listeners/InfiniteItemListener.class", "Java", 0, 54, 0, 0, 0, 0, 0, 54
"/home/last/Рабочий стол/LastPlugins/My Plugins/LastItems Free/bin/main/ru/last/lastitems/listeners/ItemDropListener.class", "Java", 0, 56, 0, 0, 0, 0, 0, 56
"/home/last/Рабочий стол/LastPlugins/My Plugins/LastItems Free/bin/main/ru/last/lastitems/utils/ChatUtils.class", "Java", 0, 7, 0, 0, 0, 0, 0, 7
"/home/last/Рабочий стол/LastPlugins/My Plugins/LastItems Free/bin/main/ru/last/lastitems/utils/PlaceholderUtil$ResolveData.class", "Java", 0, 13, 0, 0, 0, 0, 0, 13
"/home/last/Рабочий стол/LastPlugins/My Plugins/LastItems Free/bin/main/ru/last/lastitems/utils/PlaceholderUtil.class", "Java", 0, 85, 0, 0, 0, 0, 0, 85
"/home/last/Рабочий стол/LastPlugins/My Plugins/LastItems Free/bin/main/ru/last/lastitems/utils/TimeData.class", "Java", 0, 27, 0, 0, 0, 0, 0, 27
"/home/last/Рабочий стол/LastPlugins/My Plugins/LastItems Free/bin/main/wiki.yml", "YAML", 0, 0, 0, 0, 35, 102, 17, 154
